name,player_link,school,ast_per_g,fg3_pct,ft_pct,g_col,mp_per_g,n_season,pts_per_g,trb_per_g
James Akinjo,/cbb/players/james-akinjo-1.html,Baylor,5.8,.295,.835,32,33.1,4.0,13.5,2.8
Adam Flagler,/cbb/players/adam-flagler-1.html,Baylor,3.0,.387,.741,31,30.7,4.0,13.8,2.2
Kendall Brown,/cbb/players/kendall-brown-1.html,Baylor,1.9,.341,.689,34,27.0,1.0,9.7,4.9
Matthew Mayer,/cbb/players/matthew-mayer-1.html,Baylor,1.0,.324,.700,33,22.8,4.0,9.8,5.0
Jeremy Sochan,/cbb/players/jeremy-sochan-1.html,Baylor,1.8,.296,.589,30,25.1,1.0,9.2,6.4
Flo Thamba,/cbb/players/flo-thamba-1.html,Baylor,0.3,,.589,34,20.5,4.0,6.2,5.6
Jonathan Tchamwa Tchatchoua,/cbb/players/jonathan-tchamwatchatchoua-1.html,Baylor,0.7,.462,.771,25,20.8,4.0,8.4,6.8
Dale Bonner,/cbb/players/dale-bonner-1.html,Baylor,1.5,.192,.741,31,17.3,1.0,3.1,1.2
Joe Bryant,/cbb/players/joe-bryantjr-1.html,Norfolk State,3.2,.348,.915,31,32.5,4.0,16.7,5.1
Kris Bankston,/cbb/players/kris-bankston-1.html,Norfolk State,1.0,,.539,31,27.4,5.0,11.0,6.8
Jalen Hawkins,/cbb/players/jalen-hawkins-1.html,Norfolk State,1.6,.355,.692,27,27.7,3.0,12.9,3.7
Dana Tate,/cbb/players/dana-tatejr-1.html,Norfolk State,1.1,.425,.729,27,25.1,1.0,9.6,5.6
Tyrese Jenkins,/cbb/players/tyrese-jenkins-1.html,Norfolk State,1.6,.317,.667,30,24.1,3.0,6.6,4.4
Christian Ings,/cbb/players/christian-ings-1.html,Norfolk State,2.5,.405,.687,25,23.3,3.0,8.9,2.4
Nyzaiah Chambers,/cbb/players/nyzaiah-chambers-1.html,Norfolk State,0.4,.500,.595,30,12.5,3.0,3.1,3.5
Daryl Anderson,/cbb/players/daryl-anderson-1.html,Norfolk State,0.3,.358,.545,30,15.5,3.0,2.9,1.8
Chris Ford,/cbb/players/chris-ford-4.html,Norfolk State,0.2,,.632,26,7.2,4.0,1.5,1.3
Armando Bacot,/cbb/players/armando-bacot-1.html,UNC,1.5,.125,.670,39,31.6,3.0,16.3,13.1
Brady Manek,/cbb/players/brady-manek-1.html,UNC,1.8,.403,.697,39,30.4,5.0,15.1,6.1
RJ Davis,/cbb/players/rj-davis-1.html,UNC,3.6,.367,.833,39,33.9,2.0,13.5,4.3
Caleb Love,/cbb/players/caleb-love-1.html,UNC,3.6,.360,.863,39,34.2,2.0,15.9,3.4
Leaky Black,/cbb/players/rechon-black-1.html,UNC,2.7,.333,.868,38,29.7,4.0,4.9,4.3
Kerwin Walton,/cbb/players/kerwin-walton-1.html,UNC,0.4,.354,1.000,31,13.3,2.0,3.4,1.2
Dontrez Styles,/cbb/players/dontrez-styles-1.html,UNC,0.1,.167,.533,30,5.8,1.0,2.0,1.4
Justin McKoy,/cbb/players/justin-mckoy-1.html,UNC,0.5,.231,.800,30,7.0,3.0,1.0,1.4
Justin Lewis,/cbb/players/justin-lewis-1.html,Marquette,1.7,.349,.761,32,32.2,2.0,16.8,7.9
Kur Kuath,/cbb/players/kur-kuath-1.html,Marquette,0.6,,.552,32,19.0,6.0,5.6,3.9
Oso Ighodaro,/cbb/players/oso-ighodaro-1.html,Marquette,0.9,,.738,32,18.2,2.0,5.5,3.3
Darryl Morsell,/cbb/players/darryl-morsell-1.html,Marquette,2.5,.347,.771,31,29.7,5.0,13.4,3.6
Olivier-Maxence Prosper,/cbb/players/olivier-maxence-prosper-1.html,Marquette,0.9,.317,.820,32,20.7,2.0,6.6,3.3
Greg Elliott,/cbb/players/greg-elliott-1.html,Marquette,1.3,.386,.887,28,16.8,4.0,7.0,2.0
