Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,age,ast,ast_per_g,blk,college_id,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,mp,mp_per_g,name,orb,pf,pts,pts_per_g,stl,tov,trb,trb_per_g
1,1,PHI,Markelle Fultz,Washington,5.0,131.0,3251.0,1423.0,425.0,623.0,0.45,0.262,0.708,24.8,10.9,3.2,4.8,3.5,0.052,-2.0,0.0,18.0,148.0,5.9,30.0,WASHINGTON,209.0,52.0,.413,126.0,.476,439.0,109.0,.649,168.0,25.0,892.0,35.7,Markelle Fultz,33.0,63.0,579.0,23.2,40.0,80.0,143.0,5.7
2,2,LAL,Lonzo Ball,UCLA,5.0,252.0,8187.0,2995.0,1447.0,1563.0,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.4,0.067,1.0,6.3,19.0,274.0,7.6,28.0,UCLA,189.0,80.0,.412,194.0,.551,343.0,66.0,.673,98.0,36.0,1263.0,35.1,Lonzo Ball,33.0,65.0,524.0,14.6,66.0,89.0,216.0,6.0
3,3,BOS,Jayson Tatum,Duke,5.0,365.0,12184.0,7640.0,2420.0,1106.0,0.456,0.383,0.844,33.4,20.9,6.6,3.0,35.1,0.138,2.8,14.8,18.0,62.0,2.1,33.0,DUKE,165.0,40.0,.342,117.0,.452,365.0,118.0,.849,139.0,29.0,966.0,33.3,Jayson Tatum,39.0,86.0,488.0,16.8,39.0,76.0,213.0,7.3
4,4,PHO,Josh Jackson,Kansas,5.0,291.0,6718.0,3276.0,1159.0,534.0,0.416,0.292,0.68,23.1,11.3,4.0,1.8,-1.7,-0.012,-3.8,-3.1,19.0,104.0,3.0,37.0,KANSAS,220.0,34.0,.378,90.0,.513,429.0,98.0,.566,173.0,35.0,1077.0,30.8,Josh Jackson,81.0,104.0,572.0,16.3,59.0,97.0,258.0,7.4
5,5,SAC,De'Aaron Fox,Kentucky,5.0,322.0,10325.0,6148.0,1138.0,2005.0,0.462,0.32,0.725,32.1,19.1,3.5,6.2,15.7,0.073,0.1,5.4,19.0,165.0,4.6,7.0,KENTUCKY,214.0,17.0,.246,69.0,.479,447.0,156.0,.736,212.0,36.0,1064.0,29.6,De'Aaron Fox,21.0,90.0,601.0,16.7,53.0,87.0,143.0,4.0
6,6,ORL,Jonathan Isaac,Florida State,3.0,136.0,3512.0,1269.0,741.0,146.0,0.435,0.33,0.797,25.8,9.3,5.4,1.1,6.7,0.091,0.2,2.0,19.0,37.0,1.2,49.0,FLORIDAST,130.0,31.0,.348,89.0,.508,256.0,92.0,.780,118.0,32.0,839.0,26.2,Jonathan Isaac,56.0,70.0,383.0,12.0,37.0,48.0,251.0,7.8
7,7,MIN,Lauri Markkanen,Arizona,5.0,282.0,8389.0,4339.0,1904.0,354.0,0.441,0.364,0.85,29.7,15.4,6.8,1.3,16.6,0.095,-0.1,4.0,19.0,32.0,0.9,19.0,ARIZONA,185.0,69.0,.423,163.0,.492,376.0,137.0,.835,164.0,37.0,1140.0,30.8,Lauri Markkanen,88.0,73.0,576.0,15.6,15.0,40.0,266.0,7.2
9,9,DAL,Dennis Smith Jr.,NC State,5.0,216.0,5152.0,2317.0,636.0,917.0,0.402,0.312,0.652,23.9,10.7,2.9,4.2,-0.6,-0.005,-2.3,-0.4,19.0,197.0,6.2,14.0,NCSTATE,191.0,55.0,.359,153.0,.455,420.0,143.0,.715,200.0,32.0,1114.0,34.8,Dennis Smith Jr.,26.0,67.0,580.0,18.1,62.0,108.0,146.0,4.6
10,10,SAC,Zach Collins,Gonzaga,4.0,182.0,3193.0,1099.0,767.0,200.0,0.452,0.327,0.743,17.5,6.0,4.2,1.1,5.1,0.077,-2.2,-0.2,19.0,16.0,0.4,69.0,GONZAGA,135.0,10.0,.476,21.0,.652,207.0,110.0,.743,148.0,39.0,673.0,17.3,Zach Collins,66.0,105.0,390.0,10.0,18.0,60.0,230.0,5.9
11,11,CHO,Malik Monk,Kentucky,5.0,309.0,6298.0,3176.0,717.0,627.0,0.424,0.355,0.83,20.4,10.3,2.3,2.0,5.6,0.043,-1.9,0.1,18.0,87.0,2.3,19.0,KENTUCKY,251.0,104.0,.397,262.0,.450,558.0,148.0,.822,180.0,38.0,1218.0,32.1,Malik Monk,12.0,72.0,754.0,19.8,36.0,75.0,95.0,2.5
12,12,DET,Luke Kennard,Duke,5.0,297.0,6973.0,2966.0,847.0,603.0,0.449,0.425,0.869,23.5,10.0,2.9,2.0,14.2,0.098,-0.3,3.0,20.0,91.0,2.5,13.0,DUKE,237.0,88.0,.438,201.0,.489,485.0,160.0,.856,187.0,37.0,1314.0,35.5,Luke Kennard,43.0,83.0,722.0,19.5,31.0,59.0,188.0,5.1
13,13,DEN,Donovan Mitchell,Louisville,5.0,345.0,11637.0,8234.0,1433.0,1542.0,0.441,0.361,0.833,33.7,23.9,4.2,4.5,29.0,0.12,2.4,13.1,20.0,93.0,2.7,17.0,LOUISVILLE,181.0,80.0,.354,226.0,.408,444.0,87.0,.806,108.0,34.0,1098.0,32.3,Donovan Mitchell,37.0,88.0,529.0,15.6,70.0,56.0,165.0,4.9
14,14,MIA,Bam Adebayo,Kentucky,5.0,343.0,9666.0,4617.0,2850.0,1189.0,0.558,0.14,0.741,28.2,13.5,8.3,3.5,35.4,0.176,3.0,12.1,19.0,32.0,0.8,57.0,KENTUCKY,170.0,0.0,0,0.0,.599,284.0,154.0,.653,236.0,38.0,1145.0,30.1,Bam Adebayo,118.0,99.0,494.0,13.0,26.0,64.0,304.0,8.0
15,15,POR,Justin Jackson,UNC,5.0,255.0,4779.0,1656.0,637.0,276.0,0.426,0.321,0.799,18.7,6.5,2.5,1.1,5.3,0.053,-2.8,-1.0,21.0,113.0,2.8,9.0,UNC,264.0,105.0,.370,284.0,.443,596.0,98.0,.748,131.0,40.0,1281.0,32.0,Justin Jackson,58.0,55.0,731.0,18.3,31.0,69.0,186.0,4.7
15,15,POR,Justin Jackson,UNC,5.0,255.0,4779.0,1656.0,637.0,276.0,0.426,0.321,0.799,18.7,6.5,2.5,1.1,5.3,0.053,-2.8,-1.0,20.0,21.0,1.9,9.0,MARYLAND,37.0,10.0,.250,40.0,.366,101.0,24.0,.828,29.0,11.0,321.0,29.2,Justin Jackson,27.0,15.0,108.0,9.8,9.0,32.0,89.0,8.1
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,,21.0,113.0,2.8,9.0,UNC,264.0,105.0,.370,284.0,.443,596.0,98.0,.748,131.0,40.0,1281.0,32.0,Justin Jackson,58.0,55.0,731.0,18.3,31.0,69.0,186.0,4.7
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,,20.0,21.0,1.9,9.0,MARYLAND,37.0,10.0,.250,40.0,.366,101.0,24.0,.828,29.0,11.0,321.0,29.2,Justin Jackson,27.0,15.0,108.0,9.8,9.0,32.0,89.0,8.1
