draft_year,Pk,Tm,Player,College,Yrs,G,MP,PTS,Conference,Big Six Conference,age,ast,ast_per_g,blk,college_id,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,mp,mp_per_g,name,orb,pf,pts,pts_per_g,season,stl,tov,trb,trb_per_g
2011,1,CLE,Kyrie Irving,Duke,11.0,611.0,20804.0,14089.0,ACC,1,18.0,47.0,4.3,6.0,DUKE,55.0,18.0,.462,39.0,.529,104.0,64.0,.901,71.0,11.0,303.0,27.5,Kyrie Irving,6.0,23.0,192.0,17.5,2010-11,16.0,27.0,37.0,3.4
2011,2,MIN,Derrick Williams,Arizona,7.0,428.0,8864.0,3809.0,PAC-12,1,18.0,22.0,0.7,20.0,ARIZONA,162.0,4.0,.250,16.0,.574,282.0,158.0,.681,232.0,31.0,875.0,28.2,Derrick Williams,68.0,78.0,486.0,15.7,2009-10,19.0,60.0,219.0,7.1
2011,2,MIN,Derrick Williams,Arizona,7.0,428.0,8864.0,3809.0,PAC-12,1,19.0,43.0,1.1,26.0,ARIZONA,226.0,42.0,.568,74.0,.595,380.0,247.0,.746,331.0,38.0,1141.0,30.0,Derrick Williams,105.0,106.0,741.0,19.5,2010-11,37.0,100.0,314.0,8.3
2011,4,CLE,Tristan Thompson,Texas,11.0,730.0,19556.0,6592.0,Big 12,1,19.0,45.0,1.3,86.0,TEXAS,172.0,0.0,0,0.0,.546,315.0,127.0,.487,261.0,36.0,1104.0,30.7,Tristan Thompson,138.0,100.0,471.0,13.1,2010-11,34.0,64.0,282.0,7.8
2011,8,DET,Brandon Knight,Kentucky,9.0,451.0,13202.0,6301.0,SEC,1,19.0,159.0,4.2,8.0,KENTUCKY,217.0,87.0,.377,231.0,.423,513.0,136.0,.795,171.0,38.0,1363.0,35.9,Brandon Knight,25.0,83.0,657.0,17.3,2010-11,25.0,120.0,153.0,4.0
2011,9,CHA,Kemba Walker,UConn,11.0,741.0,24666.0,14414.0,,0,18.0,104.0,2.9,6.0,UCONN,110.0,13.0,.271,48.0,.470,234.0,88.0,.715,123.0,36.0,0.0,0,Kemba Walker,0.0,0.0,321.0,8.9,2008-09,38.0,66.0,125.0,3.5
2011,9,CHA,Kemba Walker,UConn,11.0,741.0,24666.0,14414.0,,0,19.0,172.0,5.1,15.0,UCONN,152.0,38.0,.339,112.0,.403,377.0,155.0,.767,202.0,34.0,1197.0,35.2,Kemba Walker,32.0,59.0,497.0,14.6,2009-10,70.0,99.0,145.0,4.3
2011,9,CHA,Kemba Walker,UConn,11.0,741.0,24666.0,14414.0,,0,20.0,184.0,4.5,7.0,UCONN,316.0,75.0,.330,227.0,.428,739.0,258.0,.819,315.0,41.0,1543.0,37.6,Kemba Walker,53.0,56.0,965.0,23.5,2010-11,77.0,93.0,223.0,5.4
2011,10,MIL,Jimmer Fredette,BYU,6.0,241.0,3213.0,1438.0,,0,18.0,61.0,1.7,3.0,BYU,83.0,43.0,.336,128.0,.407,204.0,35.0,.854,41.0,35.0,0.0,0,Jimmer Fredette,0.0,0.0,244.0,7.0,2007-08,27.0,41.0,37.0,1.1
2011,10,MIL,Jimmer Fredette,BYU,6.0,241.0,3213.0,1438.0,,0,19.0,135.0,4.1,3.0,BYU,184.0,52.0,.382,136.0,.480,383.0,116.0,.847,137.0,33.0,0.0,0,Jimmer Fredette,0.0,0.0,536.0,16.2,2008-09,50.0,85.0,98.0,3.0
2011,10,MIL,Jimmer Fredette,BYU,6.0,241.0,3213.0,1438.0,,0,20.0,159.0,4.7,5.0,BYU,225.0,77.0,.440,175.0,.458,491.0,224.0,.892,251.0,34.0,1059.0,31.1,Jimmer Fredette,25.0,36.0,751.0,22.1,2009-10,41.0,93.0,105.0,3.1
2011,10,MIL,Jimmer Fredette,BYU,6.0,241.0,3213.0,1438.0,,0,21.0,160.0,4.3,1.0,BYU,346.0,124.0,.396,313.0,.452,765.0,252.0,.894,282.0,37.0,1323.0,35.8,Jimmer Fredette,24.0,49.0,1068.0,28.9,2010-11,49.0,131.0,127.0,3.4
2011,11,GSW,Klay Thompson,Washington State,9.0,647.0,21281.0,12647.0,PAC-12,1,18.0,62.0,1.9,20.0,WASHST,159.0,68.0,.412,165.0,.421,378.0,28.0,.903,31.0,33.0,0.0,0,Klay Thompson,0.0,0.0,414.0,12.5,2008-09,30.0,70.0,138.0,4.2
2011,11,GSW,Klay Thompson,Washington State,9.0,647.0,21281.0,12647.0,PAC-12,1,19.0,70.0,2.3,22.0,WASHST,200.0,76.0,.364,209.0,.412,485.0,133.0,.801,166.0,31.0,1096.0,35.4,Klay Thompson,37.0,75.0,609.0,19.6,2009-10,44.0,104.0,159.0,5.1
2011,11,GSW,Klay Thompson,Washington State,9.0,647.0,21281.0,12647.0,PAC-12,1,20.0,127.0,3.7,32.0,WASHST,240.0,98.0,.398,246.0,.436,551.0,155.0,.838,185.0,34.0,1179.0,34.7,Klay Thompson,25.0,99.0,733.0,21.6,2010-11,56.0,115.0,178.0,5.2
2011,12,UTA,Alec Burks,Colorado,11.0,625.0,14379.0,6649.0,PAC-12,1,18.0,53.0,1.8,12.0,COLORADO,172.0,19.0,.352,54.0,.538,320.0,149.0,.772,193.0,30.0,907.0,30.2,Alec Burks,58.0,74.0,512.0,17.1,2009-10,35.0,58.0,150.0,5.0
2011,12,UTA,Alec Burks,Colorado,11.0,625.0,14379.0,6649.0,PAC-12,1,19.0,112.0,2.9,12.0,COLORADO,251.0,28.0,.292,96.0,.469,535.0,249.0,.825,302.0,38.0,1193.0,31.4,Alec Burks,91.0,89.0,779.0,20.5,2010-11,41.0,99.0,247.0,6.5
2011,13,PHO,Markieff Morris,Kansas,11.0,715.0,17724.0,7822.0,Big 12,1,19.0,34.0,1.0,25.0,KANSAS,60.0,3.0,.188,16.0,.448,134.0,39.0,.650,60.0,35.0,0.0,0,Markieff Morris,0.0,0.0,162.0,4.6,2008-09,14.0,43.0,155.0,4.4
2011,13,PHO,Markieff Morris,Kansas,11.0,715.0,17724.0,7822.0,Big 12,1,20.0,39.0,1.1,35.0,KANSAS,86.0,10.0,.526,19.0,.566,152.0,61.0,.622,98.0,36.0,632.0,17.6,Markieff Morris,63.0,92.0,243.0,6.8,2009-10,16.0,51.0,191.0,5.3
2011,13,PHO,Markieff Morris,Kansas,11.0,715.0,17724.0,7822.0,Big 12,1,21.0,53.0,1.4,43.0,KANSAS,195.0,25.0,.424,59.0,.589,331.0,103.0,.673,153.0,38.0,926.0,24.4,Markieff Morris,103.0,108.0,518.0,13.6,2010-11,30.0,78.0,316.0,8.3
2011,14,HOU,Marcus Morris,Kansas,11.0,718.0,19451.0,8921.0,Big 12,1,19.0,38.0,1.1,12.0,KANSAS,94.0,6.0,.400,15.0,.495,190.0,64.0,.604,106.0,35.0,0.0,0,Marcus Morris,0.0,0.0,258.0,7.4,2008-09,36.0,57.0,166.0,4.7
2011,14,HOU,Marcus Morris,Kansas,11.0,718.0,19451.0,8921.0,Big 12,1,20.0,37.0,1.0,12.0,KANSAS,174.0,12.0,.375,32.0,.570,305.0,99.0,.660,150.0,36.0,889.0,24.7,Marcus Morris,96.0,94.0,459.0,12.8,2009-10,34.0,48.0,220.0,6.1
2011,14,HOU,Marcus Morris,Kansas,11.0,718.0,19451.0,8921.0,Big 12,1,21.0,62.0,1.6,24.0,KANSAS,240.0,26.0,.342,76.0,.570,421.0,148.0,.688,215.0,38.0,1076.0,28.3,Marcus Morris,99.0,97.0,654.0,17.2,2010-11,32.0,67.0,290.0,7.6
2011,15,IND,Kawhi Leonard,San Diego State,10.0,576.0,18025.0,11085.0,,0,18.0,65.0,1.9,24.0,SANDIEGOST,166.0,16.0,.205,78.0,.455,365.0,85.0,.726,117.0,34.0,1064.0,31.3,Kawhi Leonard,119.0,85.0,433.0,12.7,2009-10,47.0,77.0,336.0,9.9
2011,15,IND,Kawhi Leonard,San Diego State,10.0,576.0,18025.0,11085.0,,0,19.0,91.0,2.5,21.0,SANDIEGOST,211.0,25.0,.291,86.0,.444,475.0,110.0,.759,145.0,36.0,1172.0,32.6,Kawhi Leonard,111.0,89.0,557.0,15.5,2010-11,51.0,76.0,380.0,10.6
2011,16,PHI,Nikola Vučević,USC,11.0,741.0,22869.0,12553.0,,0,18.0,7.0,0.3,9.0,USC,26.0,0.0,.000,3.0,.578,45.0,7.0,.875,8.0,23.0,254.0,11.0,Nikola Vučević,22.0,34.0,59.0,2.6,2008-09,9.0,14.0,61.0,2.7
2011,16,PHI,Nikola Vučević,USC,11.0,741.0,22869.0,12553.0,,0,19.0,36.0,1.2,39.0,USC,126.0,8.0,.222,36.0,.504,250.0,61.0,.718,85.0,30.0,968.0,32.3,Nikola Vučević,94.0,82.0,321.0,10.7,2009-10,18.0,57.0,283.0,9.4
2011,16,PHI,Nikola Vučević,USC,11.0,741.0,22869.0,12553.0,,0,20.0,54.0,1.6,47.0,USC,215.0,29.0,.349,83.0,.505,426.0,123.0,.755,163.0,34.0,1187.0,34.9,Nikola Vučević,97.0,96.0,582.0,17.1,2010-11,18.0,58.0,350.0,10.3
2011,17,NYK,Iman Shumpert,Georgia Tech,10.0,461.0,11470.0,3320.0,ACC,1,18.0,154.0,5.0,6.0,GATECH,106.0,32.0,.314,102.0,.391,271.0,86.0,.656,131.0,31.0,0.0,0,Iman Shumpert,0.0,0.0,330.0,10.6,2008-09,64.0,116.0,121.0,3.9
2011,17,NYK,Iman Shumpert,Georgia Tech,10.0,461.0,11470.0,3320.0,ACC,1,19.0,120.0,4.0,5.0,GATECH,104.0,37.0,.333,111.0,.385,270.0,54.0,.720,75.0,30.0,904.0,30.1,Iman Shumpert,27.0,69.0,299.0,10.0,2009-10,58.0,92.0,108.0,3.6
2011,17,NYK,Iman Shumpert,Georgia Tech,10.0,461.0,11470.0,3320.0,ACC,1,20.0,108.0,3.5,6.0,GATECH,177.0,42.0,.278,151.0,.406,436.0,141.0,.806,175.0,31.0,992.0,32.0,Iman Shumpert,53.0,86.0,537.0,17.3,2010-11,85.0,72.0,183.0,5.9
2011,18,WAS,Chris Singleton,Florida State,3.0,148.0,2605.0,612.0,ACC,1,19.0,37.0,1.1,47.0,FLORIDAST,95.0,34.0,.333,102.0,.409,232.0,58.0,.611,95.0,35.0,0.0,0,Chris Singleton,0.0,0.0,282.0,8.1,2008-09,54.0,70.0,172.0,4.9
2011,18,WAS,Chris Singleton,Florida State,3.0,148.0,2605.0,612.0,ACC,1,20.0,70.0,2.2,48.0,FLORIDAST,117.0,35.0,.297,118.0,.412,284.0,57.0,.496,115.0,32.0,1005.0,31.4,Chris Singleton,66.0,95.0,326.0,10.2,2009-10,71.0,96.0,223.0,7.0
2011,18,WAS,Chris Singleton,Florida State,3.0,148.0,2605.0,612.0,ACC,1,21.0,33.0,1.2,41.0,FLORIDAST,124.0,35.0,.368,95.0,.434,286.0,84.0,.667,126.0,28.0,814.0,29.1,Chris Singleton,58.0,90.0,367.0,13.1,2010-11,55.0,61.0,191.0,6.8
2011,19,CHA,Tobias Harris,Tennessee,11.0,753.0,23618.0,12313.0,SEC,1,18.0,44.0,1.3,29.0,TENNESSEE,185.0,23.0,.303,76.0,.460,402.0,128.0,.753,170.0,34.0,993.0,29.2,Tobias Harris,67.0,70.0,521.0,15.3,2010-11,24.0,62.0,247.0,7.3
2011,21,POR,Nolan Smith,Duke,2.0,84.0,829.0,277.0,ACC,1,19.0,45.0,1.3,5.0,DUKE,70.0,22.0,.386,57.0,.467,150.0,40.0,.769,52.0,34.0,0.0,0,Nolan Smith,0.0,0.0,202.0,5.9,2007-08,18.0,49.0,52.0,1.5
2011,21,POR,Nolan Smith,Duke,2.0,84.0,829.0,277.0,ACC,1,20.0,58.0,1.7,2.0,DUKE,98.0,27.0,.346,78.0,.426,230.0,62.0,.849,73.0,34.0,0.0,0,Nolan Smith,0.0,0.0,285.0,8.4,2008-09,32.0,55.0,74.0,2.2
2011,21,POR,Nolan Smith,Duke,2.0,84.0,829.0,277.0,ACC,1,21.0,114.0,3.0,9.0,DUKE,239.0,60.0,.392,153.0,.441,542.0,122.0,.767,159.0,38.0,1349.0,35.5,Nolan Smith,35.0,67.0,660.0,17.4,2009-10,47.0,70.0,106.0,2.8
