age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,first_season,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pos,pts,stl,team_id,tov,trb,trp_dbl
19.0,275.0,20.0,147.0,.517,350.0,277.0,.491,564.0,73.0,.399,183.0,.469,747.0,2011-12,171.0,.872,196.0,51.0,51.0,NBA,1558.0,Kyrie Irving,44.0,110.0,PG,944.0,54.0,CLE,160.0,191.0,0.0
20.0,38.0,31.0,234.0,.449,205.0,168.0,.467,360.0,37.0,.268,138.0,.412,498.0,2011-12,136.0,.697,195.0,66.0,15.0,NBA,1418.0,Derrick Williams,77.0,95.0,PF,583.0,30.0,MIN,77.0,311.0,
20.0,27.0,62.0,202.0,.439,194.0,194.0,.441,440.0,0.0,.000,2.0,.439,442.0,2011-12,106.0,.552,192.0,60.0,25.0,NBA,1424.0,Tristan Thompson,187.0,134.0,PF,494.0,27.0,CLE,81.0,389.0,
20.0,251.0,10.0,178.0,.483,319.0,214.0,.434,493.0,105.0,.380,276.0,.415,769.0,2011-12,104.0,.759,137.0,66.0,60.0,NBA,2129.0,Brandon Knight,33.0,154.0,PG,847.0,49.0,DET,171.0,211.0,0.0
21.0,289.0,20.0,204.0,.411,281.0,212.0,.392,541.0,69.0,.305,226.0,.366,767.0,2011-12,168.0,.789,213.0,66.0,25.0,NBA,1792.0,Kemba Walker,30.0,79.0,PG,799.0,60.0,CHA,119.0,234.0,1.0
22.0,108.0,3.0,56.0,.473,172.0,94.0,.409,230.0,78.0,.361,216.0,.386,446.0,2011-12,40.0,.833,48.0,61.0,7.0,NBA,1135.0,Jimmer Fredette,17.0,73.0,PG,462.0,30.0,SAC,67.0,73.0,
21.0,133.0,20.0,137.0,.520,318.0,207.0,.460,450.0,111.0,.414,268.0,.443,718.0,2011-12,79.0,.868,91.0,66.0,29.0,NBA,1608.0,Klay Thompson,24.0,155.0,SG,826.0,49.0,GSW,103.0,161.0,
20.0,55.0,5.0,75.0,.450,153.0,138.0,.442,312.0,15.0,.333,45.0,.429,357.0,2011-12,104.0,.727,143.0,59.0,0.0,NBA,939.0,Alec Burks,57.0,84.0,SG,425.0,27.0,UTA,51.0,132.0,
22.0,65.0,42.0,210.0,.448,174.0,131.0,.420,312.0,43.0,.347,124.0,.399,436.0,2011-12,76.0,.717,106.0,63.0,7.0,NBA,1227.0,Markieff Morris,69.0,179.0,PF,467.0,41.0,PHO,70.0,279.0,
22.0,3.0,2.0,11.0,.315,16.0,14.0,.378,37.0,2.0,.118,17.0,.296,54.0,2011-12,6.0,.750,8.0,17.0,0.0,NBA,126.0,Marcus Morris,5.0,12.0,PF,40.0,2.0,HOU,4.0,16.0,
