Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
1,1,2021-10-20,A,NOP,W,117,97,44,85,51.76%,13,25,52.00%,16,20,80.00%,6,47,24,9,5,12,11,39,93,41.94%,13,30,43.33%,6,9,66.67%,10,44,28,5,6,13,16
2,2,2021-10-22,H,BRK,L,109,114,43,91,47.25%,14,36,38.89%,9,11,81.82%,5,35,17,8,9,8,21,41,88,46.59%,12,38,31.58%,20,24,83.33%,11,47,26,6,6,12,16
3,3,2021-10-24,A,OKC,W,115,103,41,88,46.59%,17,41,41.46%,16,20,80.00%,12,47,25,4,9,12,17,40,84,47.62%,8,31,25.81%,15,19,78.95%,6,42,24,9,4,11,17
4,4,2021-10-26,A,NYK,L,99,112,36,82,43.90%,12,41,29.27%,15,17,88.24%,12,40,24,9,4,14,14,41,87,47.13%,16,37,43.24%,14,15,93.33%,13,45,24,7,5,12,18
5,5,2021-10-28,H,DET,W,110,102,38,76,50.00%,12,27,44.44%,22,24,91.67%,6,46,22,7,9,20,23,35,86,40.70%,13,39,33.33%,19,27,70.37%,10,37,22,11,4,12,22
6,6,2021-10-30,H,ATL,W,122,94,46,86,53.49%,12,38,31.58%,18,19,94.74%,5,37,24,11,6,12,24,36,95,37.89%,8,22,36.36%,14,19,73.68%,20,49,24,6,1,19,17
7,7,2021-11-01,H,POR,W,113,103,43,83,51.81%,13,36,36.11%,14,16,87.50%,7,34,34,11,6,10,18,40,84,47.62%,12,34,35.29%,11,18,61.11%,13,45,21,5,2,14,15
8,8,2021-11-03,H,CHI,W,103,98,38,77,49.35%,12,28,42.86%,15,21,71.43%,5,35,24,9,4,14,15,38,82,46.34%,6,21,28.57%,16,18,88.89%,9,47,19,11,4,15,17
9,9,2021-11-04,A,DET,W,109,98,41,83,49.40%,12,32,37.50%,15,22,68.18%,15,49,22,8,3,12,17,35,87,40.23%,11,36,30.56%,17,19,89.47%,12,41,21,6,2,11,18
10,10,2021-11-06,A,CHI,W,114,105,43,81,53.09%,13,26,50.00%,15,19,78.95%,6,41,22,6,5,14,22,37,92,40.22%,7,29,24.14%,24,30,80.00%,18,46,20,7,1,9,19
11,11,2021-11-08,H,NYK,L,96,103,35,91,38.46%,13,40,32.50%,13,16,81.25%,12,47,20,7,6,8,13,40,91,43.96%,13,40,32.50%,10,13,76.92%,14,55,25,4,4,13,18
12,12,2021-11-09,H,MIL,L,109,118,42,103,40.78%,14,43,32.56%,11,12,91.67%,13,46,21,7,7,7,20,44,95,46.32%,15,39,38.46%,15,21,71.43%,12,52,21,5,6,8,10
13,13,2021-11-11,H,TOR,L,109,115,40,88,45.45%,11,34,32.35%,18,19,94.74%,9,39,29,8,8,12,16,42,96,43.75%,14,33,42.42%,17,17,100.00%,16,47,25,10,7,11,18
14,14,2021-11-13,A,IND,L,113,118,38,89,42.70%,12,23,52.17%,25,29,86.21%,18,46,16,11,2,14,22,47,82,57.32%,14,28,50.00%,10,15,66.67%,7,37,33,7,10,15,21
15,15,2021-11-16,A,UTA,L,85,120,33,90,36.67%,6,29,20.69%,13,17,76.47%,6,42,19,5,5,8,16,46,89,51.69%,16,38,42.11%,12,19,63.16%,6,56,27,5,8,9,20
16,16,2021-11-18,A,DEN,W,103,89,43,85,50.59%,11,29,37.93%,6,12,50.00%,6,45,22,5,7,9,18,32,89,35.96%,12,36,33.33%,13,16,81.25%,10,46,22,6,4,10,14
17,17,2021-11-20,A,POR,L,111,118,41,81,50.62%,10,28,35.71%,19,21,90.48%,3,32,24,7,4,11,24,40,80,50.00%,15,34,44.12%,23,23,100.00%,5,38,23,6,7,12,21
18,18,2021-11-22,A,SAC,W,102,94,36,85,42.35%,9,32,28.13%,21,27,77.78%,11,45,19,9,6,7,20,33,80,41.25%,7,31,22.58%,21,29,72.41%,11,49,17,4,0,13,19
19,19,2021-11-24,A,GSW,L,96,116,34,80,42.50%,8,28,28.57%,20,22,90.91%,8,41,17,10,7,19,22,42,80,52.50%,15,38,39.47%,17,24,70.83%,4,41,32,7,5,16,21
20,20,2021-11-27,H,MIN,L,120,121,39,93,41.94%,12,34,35.29%,30,39,76.92%,12,44,27,13,5,16,25,48,96,50.00%,14,36,38.89%,11,16,68.75%,11,54,22,7,6,21,31
21,21,2021-11-29,H,ORL,W,101,96,39,97,40.21%,10,33,30.30%,13,18,72.22%,12,55,24,7,6,10,19,37,90,41.11%,8,33,24.24%,14,18,77.78%,8,55,20,7,6,12,21
22,22,2021-12-01,A,BOS,L,87,88,33,89,37.08%,8,31,25.81%,13,17,76.47%,8,46,20,7,9,7,17,33,79,41.77%,11,28,39.29%,11,15,73.33%,4,46,18,5,8,13,15
23,23,2021-12-03,A,ATL,W,98,96,38,81,46.91%,9,22,40.91%,13,17,76.47%,6,40,22,8,5,11,24,31,76,40.79%,10,28,35.71%,24,30,80.00%,11,47,20,5,3,14,20
24,24,2021-12-06,A,CHO,W,127,124,46,87,52.87%,15,36,41.67%,20,27,74.07%,8,49,28,6,9,15,19,48,107,44.86%,16,46,34.78%,12,17,70.59%,13,42,31,6,6,8,18
25,25,2021-12-08,A,CHO,W,110,106,36,75,48.00%,13,34,38.24%,25,30,83.33%,8,36,23,6,4,15,21,39,80,48.75%,10,29,34.48%,18,21,85.71%,8,35,22,7,4,18,24
26,26,2021-12-09,H,UTA,L,96,118,38,88,43.18%,6,33,18.18%,14,15,93.33%,6,34,17,9,4,9,20,43,91,47.25%,15,40,37.50%,17,24,70.83%,16,52,22,7,5,11,14
27,27,2021-12-11,H,GSW,W,102,93,35,76,46.05%,9,27,33.33%,23,26,88.46%,5,44,19,7,5,11,16,34,85,40.00%,12,48,25.00%,13,18,72.22%,10,42,21,5,5,13,22
28,28,2021-12-13,A,MEM,L,91,126,37,83,44.58%,4,22,18.18%,13,19,68.42%,5,38,22,5,10,15,19,47,89,52.81%,14,34,41.18%,18,23,78.26%,11,50,29,12,6,9,20
29,29,2021-12-15,H,MIA,L,96,101,35,79,44.30%,12,37,32.43%,14,17,82.35%,4,35,26,9,5,11,19,35,78,44.87%,18,44,40.91%,13,17,76.47%,9,44,25,5,3,16,18
30,30,2021-12-16,A,BRK,L,105,114,39,89,43.82%,10,34,29.41%,17,20,85.00%,5,38,19,10,4,9,22,44,89,49.44%,11,23,47.83%,15,16,93.75%,10,48,21,4,3,14,15
31,31,2021-12-20,A,BOS,W,108,103,36,72,50.00%,10,25,40.00%,26,31,83.87%,2,34,20,11,7,15,23,38,82,46.34%,7,27,25.93%,20,25,80.00%,11,42,16,9,5,18,23
32,32,2021-12-23,H,ATL,L,96,98,33,80,41.25%,6,27,22.22%,24,26,92.31%,8,38,20,8,7,8,13,37,82,45.12%,7,24,29.17%,17,19,89.47%,11,46,20,5,4,10,19
33,33,2021-12-26,A,WAS,W,117,96,43,86,50.00%,12,31,38.71%,19,22,86.36%,10,50,25,6,8,12,23,35,90,38.89%,8,33,24.24%,18,28,64.29%,14,43,22,6,1,8,18
34,34,2021-12-28,A,TOR,W,114,109,34,77,44.16%,14,30,46.67%,32,38,84.21%,8,42,23,6,4,8,18,38,87,43.68%,15,41,36.59%,18,22,81.82%,9,43,24,7,5,10,24
35,35,2021-12-30,A,BRK,W,110,102,42,100,42.00%,13,32,40.63%,13,20,65.00%,14,43,22,10,4,7,20,37,81,45.68%,7,27,25.93%,21,27,77.78%,12,52,21,4,9,17,22
36,36,2022-01-03,H,HOU,W,133,113,50,96,52.08%,17,40,42.50%,16,17,94.12%,12,54,33,7,7,12,21,37,89,41.57%,15,44,34.09%,24,33,72.73%,11,42,25,6,4,11,16
37,37,2022-01-05,A,ORL,W,116,106,43,85,50.59%,12,28,42.86%,18,24,75.00%,10,42,26,8,4,15,16,40,90,44.44%,12,39,30.77%,14,20,70.00%,14,47,22,9,3,19,30
38,38,2022-01-07,H,SAS,W,119,100,45,87,51.72%,8,23,34.78%,21,27,77.78%,12,49,28,7,4,13,18,38,92,41.30%,9,30,30.00%,15,20,75.00%,11,39,22,6,6,12,21
39,39,2022-01-10,A,HOU,W,111,91,43,94,45.74%,10,35,28.57%,15,18,83.33%,14,47,23,14,7,14,21,30,77,38.96%,13,42,30.95%,18,27,66.67%,7,39,18,8,7,20,11
40,40,2022-01-12,H,CHO,L,98,109,34,73,46.58%,12,30,40.00%,18,28,64.29%,3,33,18,3,3,16,13,46,89,51.69%,10,34,29.41%,7,8,87.50%,7,42,29,9,3,10,21
41,41,2022-01-14,H,BOS,W,111,99,38,85,44.71%,14,41,34.15%,21,25,84.00%,7,40,26,12,4,9,19,37,78,47.44%,11,31,35.48%,14,18,77.78%,7,44,20,4,4,20,21
42,42,2022-01-15,A,MIA,W,109,98,40,79,50.63%,13,32,40.63%,16,21,76.19%,6,43,24,5,5,15,22,33,86,38.37%,9,35,25.71%,23,30,76.67%,12,43,24,10,4,10,18
43,43,2022-01-17,A,WAS,L,98,117,35,86,40.70%,7,26,26.92%,21,25,84.00%,10,42,19,9,3,12,26,42,87,48.28%,9,30,30.00%,24,32,75.00%,9,49,25,7,6,12,18
44,44,2022-01-19,H,ORL,W,123,110,45,83,54.22%,10,28,35.71%,23,27,85.19%,6,44,21,7,8,9,15,40,90,44.44%,18,35,51.43%,12,16,75.00%,9,43,26,4,4,11,19
