Player Link,Weight in kg,Height in cm,Birth Date,Experience,Player Name
https://www.basketball-reference.com/players/a/abrinal01.html,90,198,1993-08-01,3 years,Álex Abrines
https://www.basketball-reference.com/players/a/acyqu01.html,108,201,1990-10-06,7 years,Quincy Acy
https://www.basketball-reference.com/players/a/adamsst01.html,120,211,1993-07-20,8 years,Steven Adams
https://www.basketball-reference.com/players/a/adebaba01.html,115,206,1997-07-18,4 years,Bam Adebayo
https://www.basketball-reference.com/players/a/afflaar01.html,95,196,1985-10-15,11 years,Arron Afflalo
https://www.basketball-reference.com/players/a/aldrico01.html,113,211,1988-10-31,8 years,Cole Aldrich
https://www.basketball-reference.com/players/a/aldrila01.html,113,211,1985-07-19,15 years,LaMarcus Aldridge
https://www.basketball-reference.com/players/a/allenja01.html,110,211,1998-04-21,4 years,Jarrett Allen
https://www.basketball-reference.com/players/a/allenka01.html,90,185,1993-01-15,3 years,Kadeem Allen
https://www.basketball-reference.com/players/a/allento01.html,96,193,1982-01-11,14 years,Tony Allen
https://www.basketball-reference.com/players/a/aminual01.html,99,203,1990-09-21,11 years,Al-Farouq Aminu
https://www.basketball-reference.com/players/a/anderju01.html,104,198,1993-11-19,5 years,Justin Anderson
https://www.basketball-reference.com/players/a/anderky01.html,104,206,1993-09-20,7 years,Kyle Anderson
https://www.basketball-reference.com/players/a/anderry01.html,108,206,1988-05-06,12 years,Ryan Anderson
https://www.basketball-reference.com/players/a/anigbik01.html,113,208,1998-10-17,2 years,Ike Anigbogu
https://www.basketball-reference.com/players/a/antetgi01.html,109,211,1994-12-06,8 years,Giannis Antetokounmpo
https://www.basketball-reference.com/players/a/anthoca01.html,107,201,1984-05-29,18 years,Carmelo Anthony
https://www.basketball-reference.com/players/a/anunoog01.html,105,201,1997-07-17,4 years,OG Anunoby
https://www.basketball-reference.com/players/a/arcidry01.html,88,190,1994-03-26,4 years,Ryan Arcidiacono
https://www.basketball-reference.com/players/a/arizatr01.html,97,203,1985-06-30,17 years,Trevor Ariza
https://www.basketball-reference.com/players/a/arthuda01.html,106,206,1988-03-25,9 years,Darrell Arthur
https://www.basketball-reference.com/players/a/artisja01.html,96,201,1993-01-12,1 year,Jamel Artis
https://www.basketball-reference.com/players/a/asikom01.html,115,213,1986-07-04,8 years,Ömer Aşık
https://www.basketball-reference.com/players/a/augusdj01.html,83,180,1987-11-10,13 years,D.J. Augustin
https://www.basketball-reference.com/players/b/babbilu01.html,102,206,1989-06-20,8 years,Luke Babbitt
https://www.basketball-reference.com/players/b/bacondw01.html,100,198,1995-08-30,4 years,Dwayne Bacon
https://www.basketball-reference.com/players/b/bakerro01.html,99,193,1993-03-30,3 years,Ron Baker
https://www.basketball-reference.com/players/b/baldwwa01.html,90,193,1996-03-29,3 years,Wade Baldwin
https://www.basketball-reference.com/players/b/balllo01.html,86,198,1997-10-27,4 years,Lonzo Ball
https://www.basketball-reference.com/players/b/bareajo01.html,81,178,1984-06-26,14 years,J.J. Barea
https://www.basketball-reference.com/players/b/barneha02.html,102,203,1992-05-30,9 years,Harrison Barnes
https://www.basketball-reference.com/players/b/bartowi01.html,82,198,1991-01-06,9 years,Will Barton
https://www.basketball-reference.com/players/b/batumni01.html,104,203,1988-12-14,13 years,Nicolas Batum
https://www.basketball-reference.com/players/b/bayleje01.html,90,190,1988-08-20,11 years,Jerryd Bayless
https://www.basketball-reference.com/players/b/baynear01.html,117,208,1986-12-09,9 years,Aron Baynes
https://www.basketball-reference.com/players/b/bazemke01.html,88,193,1989-07-01,9 years,Kent Bazemore
https://www.basketball-reference.com/players/b/bealbr01.html,93,193,1993-06-28,9 years,Bradley Beal
https://www.basketball-reference.com/players/b/beaslma01.html,84,193,1996-11-26,5 years,Malik Beasley
https://www.basketball-reference.com/players/b/beaslmi01.html,106,206,1989-01-09,11 years,Michael Beasley
https://www.basketball-reference.com/players/b/belinma01.html,99,196,1986-03-25,13 years,Marco Belinelli
https://www.basketball-reference.com/players/b/belljo01.html,97,203,1995-01-07,4 years,Jordan Bell
https://www.basketball-reference.com/players/b/bembrde01.html,95,196,1994-07-04,5 years,DeAndre' Bembry
https://www.basketball-reference.com/players/b/bendedr01.html,102,213,1997-11-17,4 years,Dragan Bender
https://www.basketball-reference.com/players/b/bertada01.html,102,208,1992-11-12,5 years,Dāvis Bertāns
https://www.basketball-reference.com/players/b/beverpa01.html,81,185,1988-07-12,9 years,Patrick Beverley
https://www.basketball-reference.com/players/b/birchkh01.html,105,206,1992-09-28,4 years,Khem Birch
https://www.basketball-reference.com/players/b/birdja01.html,89,198,1994-07-03,1 year,Jabari Bird
https://www.basketball-reference.com/players/b/biyombi01.html,115,203,1992-08-28,10 years,Bismack Biyombo
https://www.basketball-reference.com/players/b/bjeline01.html,106,208,1988-05-09,6 years,Nemanja Bjelica
https://www.basketball-reference.com/players/b/blackta01.html,113,206,1991-11-22,4 years,Tarik Black
https://www.basketball-reference.com/players/b/blakean01.html,87,193,1996-10-04,2 years,Antonio Blakeney
https://www.basketball-reference.com/players/b/bledser01.html,97,185,1989-12-09,11 years,Eric Bledsoe
https://www.basketball-reference.com/players/b/blueva01.html,90,193,1992-07-17,3 years,Vander Blue
https://www.basketball-reference.com/players/b/bogdabo01.html,99,198,1992-08-18,4 years,Bogdan Bogdanović
https://www.basketball-reference.com/players/b/bogdabo02.html,102,201,1989-04-18,7 years,Bojan Bogdanović
https://www.basketball-reference.com/players/b/bogutan01.html,117,213,1984-11-28,14 years,Andrew Bogut
https://www.basketball-reference.com/players/b/bolomjo01.html,106,206,1994-01-28,2 years,Joel Bolomboy
https://www.basketball-reference.com/players/b/bookede01.html,93,196,1996-10-30,6 years,Devin Booker
https://www.basketball-reference.com/players/b/booketr01.html,103,203,1987-11-25,8 years,Trevor Booker
https://www.basketball-reference.com/players/b/bouchch01.html,90,206,1993-01-11,4 years,Chris Boucher
